,keyword
0,언론
1,20대
2,초선
3,개혁
4,선거
5,부동산
6,국민
7,박시영
8,페미
9,지금
10,문제
11,사람
12,의원
13,대선
14,남성
15,검찰
16,180석
17,정책
18,생각
19,여성
20,정부
21,진보
22,안진걸
23,청년
24,정신
25,지지
26,대통령
27,포털
28,말고
29,많이
30,조국
31,대표
32,대한
33,남자
34,정치
35,보고
36,방송
37,이삼십대
38,오늘
39,정권
40,소장님
41,총선
42,30
43,협치
44,뉴스
45,이낙연
46,마음을
47,커뮤니티
48,아직
49,앞으로
50,국지
51,내년
52,저도
53,근데
54,보수
55,것도
56,이재명
57,유튜브
58,세력
59,여자
60,내가
61,세대
62,일반
63,TV
64,1년
65,알고
66,세금
67,코로나
68,좋은
69,시민
70,적폐
71,없습니다.
72,관심
73,특히
74,못한
75,이미
76,최고
77,프로
78,말씀
79,ㅠㅠ
80,아무리
81,LH
82,노무현
83,하태경
84,시장
85,2.
86,열린
87,결과
88,박영선
89,장관
90,3.
91,없이
92,중요
93,촛불
94,추미애
95,지도
96,여당
97,지역구
98,말하는
99,듣고
100,필요
101,40대
102,해결
103,후보
104,기사
105,인간
106,야당
107,국회
108,서울
109,그만
110,반성
111,5인
112,이준석
113,분석
114,ㅋㅋㅋ
115,댓글
116,크크크
117,정도
118,하세요.
119,토론
120,젠더
121,마당
122,정당
123,패배
124,법을
125,관련
126,원인은
127,수도
128,티브이
129,전에
130,박근혜
131,가짜
132,여론
133,거예요.
134,저는
135,그렇
136,함.
137,찍은
138,이야
139,서민
140,1.
141,10
142,사태
143,이소영
144,차리
145,조중동
146,보편
147,그걸
148,그나마
149,못하
150,비리
151,투표
152,4.
153,투기
154,사면
155,이슈
156,보증금
157,상황
158,50
159,황희
160,파이팅
161,이게
162,지급
163,어디에
164,민심을
165,주변
166,권력
167,민동기
168,중에
169,피해
170,규제
171,거라
172,뭐가
173,어차피
174,수가
175,지원
176,소리
177,답이
178,말을
179,눈치
180,이후
181,얻으려면
182,무능한
183,아닙니다.
184,의견
185,얘기
186,분들
187,주세요
188,목소리를
189,시작
190,대출
191,참패
192,보지
193,해요.
194,안철수
195,등을
196,현실
197,게임
198,"2,"
199,윤석열
200,것처럼
201,잘못
202,김어준
203,것으로
204,말아
205,이기
206,통과
207,힘을
208,일베
209,정의
210,걱정
211,기자
212,집단
213,표가
214,찍었
215,거다.
216,15
217,5.
218,좋겠
219,월세
220,박형준
221,본인
222,거기에
223,사회
224,집권
225,분명
226,이유
227,마시고
228,그러
229,본다.
230,잘하
231,아는
232,꼰대
233,바랍니다.
234,금지
235,공감
236,해주
237,않았
238,잃고
239,나오
240,거지
241,박원순
242,부자
243,표심
244,책임
245,법안
246,거짓
247,취업
248,엄중
249,마세요.
250,몰라
251,지난
252,부분
253,박주민
254,있었
255,중진
